ID Skenario,Method,Scenario (Tuning),Opt,Sched,VGG19,,,,,Resnet50,,,,,EfficientNetB2,,,,
,,,,,Accuracy,F1-Macro,Precision,Recall,ROC-AUC,Accuracy,F1-Macro,Precision,Recall,ROC-AUC,Accuracy,F1-Macro,Precision,Recall,ROC-AUC
S-01,Class Weight,Freeze_All,Adam,Reducelr,"72,34","73,35","70,71","78,3","91,57","51,48","35,19","35,77","38,39","69,46","56,64","50,2","46,91","58,95","80,7"
S-02,Class Weight,Freeze_All,Adam,Cosine,"70,23","70,57","67,97","74,61","90,68","52,81","36,07","35,61","37,47","70,27","56,41","51,24","48,2","58,21","79,44"
S-03,Class Weight,Freeze_All,Adamw,Reducelr,"74,06",76,"74,73","78,22","92,36","55,7","34,16","38,65","34,92","66,84","55,08","47,96","45,16","62,48","79,96"
S-04,Class Weight,Freeze_All,Adamw,Cosine,"71,33","71,47","68,99","75,6","91,22","53,52","37,55","37,23",40,"72,04","55,08","48,19","45,65","54,53","79,56"
S-05,Class Weight,Unfreeze_Last,Adam,Reducelr,"92,11","92,07","93,58","90,84","98,63","87,73","89,36","90,81","88,03","97,39","95,94","96,02","94,9","97,25","99,71"
S-06,Class Weight,Unfreeze_Last,Adam,Cosine,"92,73","93,4","94,08","92,79","98,52","86,8","89,23","89,8","88,75","97,36",95,"96,15","95,77","96,57","99,56"
S-07,Class Weight,Unfreeze_Last,Adamw,Reducelr,"92,81","92,56","94,83","90,58","98,11","88,2","89,97","90,04","90,18","97,83","95,86","96,83","97,05","96,63","99,71"
S-08,Class Weight,Unfreeze_Last,Adamw,Cosine,"91,95","91,68","93,04","90,6","98,56","86,25","86,94","87,21","86,95","97,24","94,61","95,87","95,75",96,"99,5"
S-09,Class Weight,Full_Tuning,Adam,Reducelr,"96,09","94,99","96,87","93,35","99,59","98,91","98,98","99,38","98,62","99,97","98,75","98,95","99,05","98,86","99,95"
S-10,Class Weight,Full_Tuning,Adam,Cosine,"95,55","95,06","95,01","95,14","99,46","98,75","99,1","99,27","98,93","99,93","98,36","98,73","98,72","98,73","99,96"
S-11,Class Weight,Full_Tuning,Adamw,Reducelr,"96,09","96,16","97,05","95,33","99,7","98,91","98,98","99,38","98,62","99,97","98,98","99,14","99,07","99,22","99,97"
S-12,Class Weight,Full_Tuning,Adamw,Cosine,"92,97","93,87","94,25","93,63","99,24","98,7","98,99","99,01","98,89","99,79","98,83",99,"98,89","99,12","99,98"
S-13,Sampler,Freeze_All,Adam,Reducelr,"76,95","80,48","81,36","79,66","93,68","45,23","35,51","38,36","56,71","75,24","56,25","49,48","45,81","63,95","80,66"
S-14,Sampler,Freeze_All,Adam,Cosine,"74,53","77,79","76,62","80,07","92,59","47,73","38,79","39,71","57,79","75,97","54,45","45,65","43,12","57,5","78,65"
S-15,Sampler,Freeze_All,Adamw,Reducelr,"75,39","80,23","79,4","81,33","93,17","46,8","37,3","39,05","58,1","76,06","55,31","48,98","45,82","57,55","80,3"
S-16,Sampler,Freeze_All,Adamw,Cosine,"73,98","77,97","78,02","78,52","92,37","46,02","36,14","38,28","54,57","74,6","57,19","50,15","47,14","59,49","79,69"
S-17,Sampler,Unfreeze_Last,Adam,Reducelr,"93,28","94,17","95,08","93,35","99,05","84,3","87,45","88,26","86,75","96,96","96,09","96,7","96,75","96,68","99,78"
S-18,Sampler,Unfreeze_Last,Adam,Cosine,"93,28","93,31","95,16","91,71","98,92","84,38","87,22","87,42","87,27","96,73","93,75",95,"94,22","95,94","99,55"
S-19,Sampler,Unfreeze_Last,Adamw,Reducelr,"92,58","91,54","94,65","89,02","98,53","87,97","89,64","88,21","91,35","97,68","96,25","97,47","97,23","97,84","99,83"
S-20,Sampler,Unfreeze_Last,Adamw,Cosine,"91,41","90,12","89,06","91,36","98,56","86,88","89,68","91,05","88,52","96,95","95,47","96,49","95,93","97,12","99,59"
S-21,Sampler,Full_Tuning,Adam,Reducelr,"97,34","97,06","98,16","96,03","99,71","96,72","97,46","97,55","97,39","99,86","97,81","98,09","98,13","98,05","99,89"
S-22,Sampler,Full_Tuning,Adam,Cosine,"96,64","96,45",98,"95,04","99,62","97,89","98,48","98,73","98,24","99,91","98,44","98,7","98,82","98,59","99,93"
S-23,Sampler,Full_Tuning,Adamw,Reducelr,"96,72","97,16","96,84","97,5","99,82","96,72","97,46","97,55","97,39","99,86","98,12","98,49","98,31","98,68","99,97"
S-24,Sampler,Full_Tuning,Adamw,Cosine,"96,41","97,11","96,89","97,34","99,62","97,89","98,48","98,73","98,24","99,91","99,14","99,34","99,48","99,2","99,98"
